t,type,state,x,z,detail
3.146,traj,CLAMP,0.2000,0.0180,
3.247,traj,CLAMP,0.2000,0.0180,
3.348,traj,CLAMP,0.2000,0.0190,
3.449,traj,CLAMP,0.2000,0.0190,
3.550,traj,CLAMP,0.2000,0.0190,
3.651,traj,CLAMP,0.2000,0.0190,
3.752,traj,CLAMP,0.2000,0.0190,
3.853,traj,CLAMP,0.2000,0.0180,
3.954,traj,CLAMP,0.2000,0.0190,
4.015,wp,CLOSE,,,OK duration=1.12s
4.015,state,LIFT,,,
4.056,traj,LIFT,0.2000,0.0190,
4.157,traj,LIFT,0.2000,0.0190,
4.259,traj,LIFT,0.2000,0.0190,
4.360,traj,LIFT,0.2010,0.0210,
4.461,traj,LIFT,0.2030,0.0260,
4.562,traj,LIFT,0.2020,0.0320,
4.663,traj,LIFT,0.2010,0.0370,
4.683,wp,LIFT_1/3,0.2000,0.0467,OK
4.765,traj,LIFT,0.2000,0.0420,
4.866,traj,LIFT,0.2000,0.0430,
4.967,traj,LIFT,0.2000,0.0430,
5.068,traj,LIFT,0.2020,0.0480,
5.169,traj,LIFT,0.2030,0.0530,
5.270,traj,LIFT,0.2040,0.0590,
5.372,traj,LIFT,0.2020,0.0650,
5.392,wp,LIFT_2/3,0.2000,0.0733,OK
5.474,traj,LIFT,0.2010,0.0690,
5.575,traj,LIFT,0.2010,0.0700,
5.676,traj,LIFT,0.2010,0.0720,
5.777,traj,LIFT,0.2010,0.0760,
5.878,traj,LIFT,0.2010,0.0840,
5.979,traj,LIFT,0.2020,0.0880,
6.080,traj,LIFT,0.2010,0.0930,
6.101,wp,LIFT_3/3,0.2000,0.1000,OK
6.102,state,TRANSPORT,,,
6.183,traj,TRANSPORT,0.2010,0.0950,
6.285,traj,TRANSPORT,0.2010,0.0970,
6.386,traj,TRANSPORT,0.1990,0.0960,
6.487,traj,TRANSPORT,0.1960,0.0950,
6.588,traj,TRANSPORT,0.1890,0.0980,
6.689,traj,TRANSPORT,0.1840,0.0980,
6.730,wp,TRANSPORT_1/2,0.1750,0.1000,OK
6.791,traj,TRANSPORT,0.1790,0.1000,
6.892,traj,TRANSPORT,0.1760,0.0990,
6.993,traj,TRANSPORT,0.1710,0.1010,
7.094,traj,TRANSPORT,0.1660,0.1020,
7.195,traj,TRANSPORT,0.1590,0.1030,
7.236,wp,TRANSPORT_2/2,0.1500,0.1000,OK
7.236,state,DESCEND_B,,,
7.298,traj,DESCEND_B,0.1560,0.1010,
7.399,traj,DESCEND_B,0.1520,0.1010,
7.500,traj,DESCEND_B,0.1510,0.0990,
7.601,traj,DESCEND_B,0.1510,0.0950,
7.702,traj,DESCEND_B,0.1510,0.0950,
7.803,traj,DESCEND_B,0.1510,0.0820,
7.824,wp,DESCEND_B_1/3,0.1500,0.0733,OK
7.905,traj,DESCEND_B,0.1500,0.0770,
8.007,traj,DESCEND_B,0.1510,0.0750,
8.109,traj,DESCEND_B,0.1490,0.0640,
8.210,traj,DESCEND_B,0.1490,0.0570,
8.311,traj,DESCEND_B,0.1490,0.0570,
8.372,wp,DESCEND_B_2/3,0.1500,0.0467,OK
8.413,traj,DESCEND_B,0.1500,0.0480,
8.514,traj,DESCEND_B,0.1510,0.0470,
8.616,traj,DESCEND_B,0.1480,0.0430,
8.717,traj,DESCEND_B,0.1500,0.0380,
8.818,traj,DESCEND_B,0.1500,0.0340,
8.919,traj,DESCEND_B,0.1500,0.0320,
9.021,traj,DESCEND_B,0.1500,0.0300,
9.122,traj,DESCEND_B,0.1500,0.0300,
9.223,traj,DESCEND_B,0.1500,0.0300,
9.324,traj,DESCEND_B,0.1500,0.0300,
9.426,traj,DESCEND_B,0.1500,0.0300,
9.527,traj,DESCEND_B,0.1500,0.0300,
9.628,traj,DESCEND_B,0.1500,0.0300,
9.729,traj,DESCEND_B,0.1500,0.0300,
9.830,traj,DESCEND_B,0.1500,0.0300,
9.931,wp,DESCEND_B_3/3,0.1500,0.0200,OK
9.932,state,RELEASE,,,
9.932,traj,RELEASE,0.1500,0.0300,
10.033,traj,RELEASE,0.1500,0.0300,
10.135,traj,RELEASE,0.1500,0.0300,
10.236,traj,RELEASE,0.1500,0.0300,
10.337,traj,RELEASE,0.1500,0.0300,
10.438,traj,RELEASE,0.1500,0.0300,
10.539,traj,RELEASE,0.1500,0.0300,
10.640,traj,RELEASE,0.1500,0.0300,
10.742,traj,RELEASE,0.1500,0.0300,
10.843,traj,RELEASE,0.1500,0.0300,
10.944,traj,RELEASE,0.1500,0.0300,
11.045,traj,RELEASE,0.1500,0.0300,
11.147,traj,RELEASE,0.1500,0.0300,
11.210,wp,OPEN,,,OK duration=1.14s
11.210,state,LIFT_B,,,
11.252,traj,LIFT_B,0.1500,0.0300,
11.353,traj,LIFT_B,0.1500,0.0300,
11.454,traj,LIFT_B,0.1500,0.0300,
11.555,traj,LIFT_B,0.1500,0.0300,
11.656,traj,LIFT_B,0.1510,0.0320,
11.757,traj,LIFT_B,0.1530,0.0350,
11.777,wp,LIFT_B_1/3,0.1500,0.0467,OK
11.859,traj,LIFT_B,0.1520,0.0380,
11.960,traj,LIFT_B,0.1520,0.0420,
12.061,traj,LIFT_B,0.1500,0.0440,
12.162,traj,LIFT_B,0.1510,0.0520,
12.264,traj,LIFT_B,0.1500,0.0640,
12.284,wp,LIFT_B_2/3,0.1500,0.0733,OK
12.365,traj,LIFT_B,0.1500,0.0680,
12.466,traj,LIFT_B,0.1510,0.0710,
12.568,traj,LIFT_B,0.1530,0.0750,
12.669,traj,LIFT_B,0.1550,0.0830,
12.770,traj,LIFT_B,0.1540,0.0880,
12.871,wp,LIFT_B_3/3,0.1500,0.1000,OK
12.872,state,HOME,,,
12.872,traj,HOME,0.1520,0.0940,
12.933,wp,HOME,0.1500,0.1000,OK
12.934,cycle,CYCLE_1,,,SUCCESS
12.934,state,CYCLE_1_OK,,,
