t,type,state,x,z,detail
0.002,state,HOME,,,
0.003,traj,HOME,0.1510,0.0980,
0.044,wp,OPEN,,,OK duration=0.00s
0.044,state,HOME,,,
0.105,wp,HOME,0.1500,0.1000,OK
0.106,state,APPROACH_A,,,
0.106,traj,APPROACH_A,0.1510,0.0980,
0.208,traj,APPROACH_A,0.1510,0.0980,
0.309,traj,APPROACH_A,0.1510,0.0980,
0.410,traj,APPROACH_A,0.1530,0.0980,
0.511,traj,APPROACH_A,0.1580,0.0970,
0.612,traj,APPROACH_A,0.1640,0.0960,
0.653,wp,APPROACH_A_1/2,0.1750,0.1000,OK
0.713,traj,APPROACH_A,0.1670,0.0970,
0.815,traj,APPROACH_A,0.1710,0.0970,
0.916,traj,APPROACH_A,0.1730,0.0990,
1.017,traj,APPROACH_A,0.1870,0.1000,
1.118,traj,APPROACH_A,0.1930,0.0990,
1.139,wp,APPROACH_A_2/2,0.2000,0.1000,OK
1.139,state,DESCEND_A,,,
1.221,traj,DESCEND_A,0.1960,0.1000,
1.322,traj,DESCEND_A,0.1990,0.0970,
1.424,traj,DESCEND_A,0.2000,0.0890,
1.525,traj,DESCEND_A,0.2010,0.0850,
1.626,traj,DESCEND_A,0.2000,0.0790,
1.687,wp,DESCEND_A_1/3,0.2000,0.0733,OK
1.728,traj,DESCEND_A,0.2000,0.0770,
1.829,traj,DESCEND_A,0.2000,0.0740,
1.931,traj,DESCEND_A,0.1990,0.0700,
2.032,traj,DESCEND_A,0.1990,0.0620,
2.133,traj,DESCEND_A,0.2000,0.0560,
2.213,wp,DESCEND_A_2/3,0.2000,0.0467,OK
2.234,traj,DESCEND_A,0.2010,0.0500,
2.335,traj,DESCEND_A,0.2000,0.0480,
2.437,traj,DESCEND_A,0.1990,0.0430,
2.538,traj,DESCEND_A,0.2000,0.0360,
2.639,traj,DESCEND_A,0.2000,0.0290,
2.740,wp,DESCEND_A_3/3,0.2000,0.0200,OK
2.741,state,CLAMP,,,
2.741,traj,CLAMP,0.2010,0.0240,
2.843,traj,CLAMP,0.2000,0.0210,
2.944,traj,CLAMP,0.2000,0.0190,
3.045,traj,CLAMP,0.2000,0.0190,
