t,type,state,x,z,detail
0.003,state,HOME,,,
0.003,traj,HOME,0.1510,0.0980,
0.044,wp,OPEN,,,OK duration=0.00s
0.045,state,HOME,,,
0.106,wp,HOME,0.1500,0.1000,OK
0.106,state,APPROACH_A,,,
0.107,traj,APPROACH_A,0.1510,0.0980,
0.208,traj,APPROACH_A,0.1510,0.0980,
0.309,traj,APPROACH_A,0.1510,0.0980,
0.410,traj,APPROACH_A,0.1530,0.0980,
0.511,traj,APPROACH_A,0.1600,0.0950,
0.612,traj,APPROACH_A,0.1640,0.0970,
0.673,wp,APPROACH_A_1/2,0.1750,0.1000,OK
0.714,traj,APPROACH_A,0.1690,0.0970,
0.815,traj,APPROACH_A,0.1710,0.0980,
0.916,traj,APPROACH_A,0.1740,0.0980,
1.017,traj,APPROACH_A,0.1780,0.1010,
1.118,traj,APPROACH_A,0.1860,0.1000,
1.219,traj,APPROACH_A,0.1910,0.1020,
1.239,wp,APPROACH_A_2/2,0.2000,0.1000,OK
1.240,state,DESCEND_A,,,
1.321,traj,DESCEND_A,0.1950,0.1000,
1.422,traj,DESCEND_A,0.1970,0.0990,
1.523,traj,DESCEND_A,0.2000,0.0940,
1.624,traj,DESCEND_A,0.2000,0.0870,
1.725,traj,DESCEND_A,0.2010,0.0820,
1.786,wp,DESCEND_A_1/3,0.2000,0.0733,OK
1.827,traj,DESCEND_A,0.2000,0.0780,
1.928,traj,DESCEND_A,0.2000,0.0760,
2.029,traj,DESCEND_A,0.1990,0.0720,
2.130,traj,DESCEND_A,0.1990,0.0670,
2.231,traj,DESCEND_A,0.1990,0.0580,
2.312,wp,DESCEND_A_2/3,0.2000,0.0467,OK
2.342,traj,DESCEND_A,0.2010,0.0530,
2.443,traj,DESCEND_A,0.2010,0.0480,
2.544,traj,DESCEND_A,0.2000,0.0470,
2.645,traj,DESCEND_A,0.1990,0.0410,
2.746,traj,DESCEND_A,0.2010,0.0340,
2.847,wp,DESCEND_A_3/3,0.2000,0.0200,OK
2.848,state,CLAMP,,,
2.848,traj,CLAMP,0.2000,0.0270,
2.949,traj,CLAMP,0.2000,0.0230,
3.051,traj,CLAMP,0.2000,0.0200,
3.152,traj,CLAMP,0.2000,0.0190,
3.253,traj,CLAMP,0.2000,0.0190,
3.354,traj,CLAMP,0.2000,0.0190,
3.455,traj,CLAMP,0.2000,0.0190,
3.556,traj,CLAMP,0.2000,0.0190,
3.658,traj,CLAMP,0.2000,0.0190,
3.759,traj,CLAMP,0.2000,0.0180,
3.860,traj,CLAMP,0.2000,0.0190,
3.961,traj,CLAMP,0.2000,0.0190,
4.062,traj,CLAMP,0.2000,0.0190,
4.163,traj,CLAMP,0.2000,0.0180,
4.264,traj,CLAMP,0.2000,0.0190,
4.325,wp,CLOSE,,,OK duration=1.34s
4.325,state,LIFT,,,
4.366,traj,LIFT,0.2000,0.0190,
4.468,traj,LIFT,0.2000,0.0190,
4.569,traj,LIFT,0.2000,0.0180,
4.670,traj,LIFT,0.2000,0.0200,
4.771,traj,LIFT,0.2020,0.0220,
4.872,traj,LIFT,0.2030,0.0270,
4.973,traj,LIFT,0.2010,0.0340,
4.994,wp,LIFT_1/3,0.2000,0.0467,OK
5.075,traj,LIFT,0.2010,0.0390,
5.176,traj,LIFT,0.2000,0.0420,
5.277,traj,LIFT,0.2000,0.0430,
5.378,traj,LIFT,0.2010,0.0440,
5.480,traj,LIFT,0.2020,0.0500,
5.581,traj,LIFT,0.2030,0.0550,
5.662,wp,LIFT_2/3,0.2000,0.0733,OK
5.682,traj,LIFT,0.2040,0.0610,
5.783,traj,LIFT,0.2000,0.0700,
5.884,traj,LIFT,0.2010,0.0700,
5.985,traj,LIFT,0.2010,0.0740,
6.086,traj,LIFT,0.2010,0.0790,
6.187,traj,LIFT,0.2020,0.0870,
6.288,traj,LIFT,0.2020,0.0900,
6.390,wp,LIFT_3/3,0.2000,0.1000,OK
6.390,state,TRANSPORT,,,
6.391,traj,TRANSPORT,0.2010,0.0940,
