t,type,state,x,z,detail
6.492,traj,TRANSPORT,0.2010,0.0970,
6.593,traj,TRANSPORT,0.2010,0.0970,
6.694,traj,TRANSPORT,0.1980,0.0970,
6.795,traj,TRANSPORT,0.1940,0.0960,
6.897,traj,TRANSPORT,0.1870,0.0990,
6.998,traj,TRANSPORT,0.1830,0.0990,
7.058,wp,TRANSPORT_1/2,0.1750,0.1000,OK
7.099,traj,TRANSPORT,0.1780,0.1000,
7.200,traj,TRANSPORT,0.1760,0.0990,
7.301,traj,TRANSPORT,0.1710,0.1010,
7.402,traj,TRANSPORT,0.1660,0.1010,
7.503,traj,TRANSPORT,0.1590,0.1020,
7.583,wp,TRANSPORT_2/2,0.1500,0.1000,OK
7.584,state,DESCEND_B,,,
7.605,traj,DESCEND_B,0.1560,0.1010,
7.706,traj,DESCEND_B,0.1520,0.1010,
7.807,traj,DESCEND_B,0.1510,0.0990,
7.908,traj,DESCEND_B,0.1510,0.0940,
8.009,traj,DESCEND_B,0.1500,0.0860,
8.110,traj,DESCEND_B,0.1510,0.0820,
8.151,wp,DESCEND_B_1/3,0.1500,0.0733,OK
8.212,traj,DESCEND_B,0.1510,0.0770,
8.313,traj,DESCEND_B,0.1510,0.0750,
8.414,traj,DESCEND_B,0.1490,0.0700,
8.515,traj,DESCEND_B,0.1490,0.0640,
8.617,traj,DESCEND_B,0.1490,0.0570,
8.677,wp,DESCEND_B_2/3,0.1500,0.0467,OK
8.718,traj,DESCEND_B,0.1510,0.0520,
8.819,traj,DESCEND_B,0.1500,0.0480,
8.922,traj,DESCEND_B,0.1500,0.0460,
9.023,traj,DESCEND_B,0.1490,0.0420,
9.124,traj,DESCEND_B,0.1500,0.0370,
9.225,traj,DESCEND_B,0.1500,0.0340,
9.326,traj,DESCEND_B,0.1500,0.0320,
9.427,traj,DESCEND_B,0.1500,0.0300,
9.529,traj,DESCEND_B,0.1500,0.0300,
9.630,traj,DESCEND_B,0.1500,0.0300,
9.731,traj,DESCEND_B,0.1500,0.0300,
9.832,traj,DESCEND_B,0.1500,0.0300,
9.933,traj,DESCEND_B,0.1500,0.0300,
10.034,traj,DESCEND_B,0.1500,0.0300,
10.135,traj,DESCEND_B,0.1500,0.0300,
10.237,wp,DESCEND_B_3/3,0.1500,0.0200,OK
10.237,state,RELEASE,,,
10.237,traj,RELEASE,0.1500,0.0300,
10.339,traj,RELEASE,0.1500,0.0300,
10.439,traj,RELEASE,0.1500,0.0300,
10.540,traj,RELEASE,0.1500,0.0300,
10.641,traj,RELEASE,0.1500,0.0300,
10.742,traj,RELEASE,0.1500,0.0300,
10.843,traj,RELEASE,0.1500,0.0300,
10.944,traj,RELEASE,0.1500,0.0300,
11.045,traj,RELEASE,0.1500,0.0300,
11.146,traj,RELEASE,0.1500,0.0300,
11.247,traj,RELEASE,0.1500,0.0300,
11.348,traj,RELEASE,0.1500,0.0300,
11.449,traj,RELEASE,0.1500,0.0300,
11.550,traj,RELEASE,0.1500,0.0300,
11.651,traj,RELEASE,0.1500,0.0300,
11.713,wp,OPEN,,,OK duration=1.34s
11.713,state,LIFT_B,,,
11.754,traj,LIFT_B,0.1500,0.0300,
11.855,traj,LIFT_B,0.1500,0.0300,
11.957,traj,LIFT_B,0.1510,0.0310,
12.058,traj,LIFT_B,0.1520,0.0320,
12.159,traj,LIFT_B,0.1530,0.0360,
12.260,traj,LIFT_B,0.1520,0.0390,
12.301,wp,LIFT_B_1/3,0.1500,0.0467,OK
12.362,traj,LIFT_B,0.1510,0.0420,
12.463,traj,LIFT_B,0.1510,0.0420,
12.564,traj,LIFT_B,0.1510,0.0520,
12.665,traj,LIFT_B,0.1490,0.0580,
12.766,traj,LIFT_B,0.1500,0.0650,
12.806,wp,LIFT_B_2/3,0.1500,0.0733,OK
12.867,traj,LIFT_B,0.1500,0.0650,
12.969,traj,LIFT_B,0.1500,0.0680,
13.069,traj,LIFT_B,0.1510,0.0720,
13.171,traj,LIFT_B,0.1530,0.0770,
13.272,traj,LIFT_B,0.1550,0.0850,
13.373,traj,LIFT_B,0.1530,0.0900,
13.393,wp,LIFT_B_3/3,0.1500,0.1000,OK
13.393,state,HOME,,,
13.454,wp,HOME,0.1500,0.1000,OK
13.455,cycle,CYCLE_1,,,SUCCESS
13.455,state,CYCLE_1_OK,,,
