t,type,state,x,z,detail
10.343,traj,RELEASE,0.1500,0.0300,
10.444,traj,RELEASE,0.1500,0.0300,
10.545,traj,RELEASE,0.1500,0.0300,
10.646,traj,RELEASE,0.1500,0.0300,
10.747,traj,RELEASE,0.1500,0.0300,
10.848,traj,RELEASE,0.1500,0.0300,
10.949,traj,RELEASE,0.1500,0.0300,
11.031,wp,OPEN,,,OK duration=1.00s
11.031,state,LIFT_B,,,
11.052,traj,LIFT_B,0.1500,0.0300,
11.154,traj,LIFT_B,0.1500,0.0300,
11.255,traj,LIFT_B,0.1500,0.0300,
11.356,traj,LIFT_B,0.1510,0.0310,
11.457,traj,LIFT_B,0.1520,0.0320,
11.558,traj,LIFT_B,0.1540,0.0350,
11.639,wp,LIFT_B_1/3,0.1500,0.0467,OK
11.660,traj,LIFT_B,0.1520,0.0390,
11.762,traj,LIFT_B,0.1510,0.0420,
11.863,traj,LIFT_B,0.1500,0.0440,
11.964,traj,LIFT_B,0.1520,0.0460,
12.065,traj,LIFT_B,0.1530,0.0500,
12.167,traj,LIFT_B,0.1530,0.0580,
12.268,wp,LIFT_B_2/3,0.1500,0.0733,OK
12.268,traj,LIFT_B,0.1510,0.0630,
12.369,traj,LIFT_B,0.1510,0.0680,
12.470,traj,LIFT_B,0.1500,0.0700,
12.571,traj,LIFT_B,0.1530,0.0750,
12.673,traj,LIFT_B,0.1540,0.0810,
12.774,traj,LIFT_B,0.1550,0.0880,
12.834,wp,LIFT_B_3/3,0.1500,0.1000,OK
12.835,state,HOME,,,
12.876,traj,HOME,0.1520,0.0930,
12.917,wp,HOME,0.1500,0.1000,OK
12.917,cycle,CYCLE_1,,,SUCCESS
12.918,state,CYCLE_1_OK,,,
