t,type,state,x,z,detail
7.681,wp,TRANSPORT_2/2,0.1500,0.1000,OK
7.681,state,DESCEND_B,,,
7.702,traj,DESCEND_B,0.1590,0.1010,
7.803,traj,DESCEND_B,0.1540,0.1020,
7.905,traj,DESCEND_B,0.1520,0.1000,
8.006,traj,DESCEND_B,0.1510,0.0970,
8.107,traj,DESCEND_B,0.1510,0.0900,
8.209,traj,DESCEND_B,0.1520,0.0840,
8.229,wp,DESCEND_B_1/3,0.1500,0.0733,OK
8.310,traj,DESCEND_B,0.1510,0.0790,
8.411,traj,DESCEND_B,0.1510,0.0760,
8.512,traj,DESCEND_B,0.1490,0.0720,
8.613,traj,DESCEND_B,0.1490,0.0660,
8.714,traj,DESCEND_B,0.1490,0.0580,
8.755,wp,DESCEND_B_2/3,0.1500,0.0467,OK
8.816,traj,DESCEND_B,0.1510,0.0530,
8.917,traj,DESCEND_B,0.1500,0.0490,
9.018,traj,DESCEND_B,0.1510,0.0470,
9.119,traj,DESCEND_B,0.1490,0.0440,
9.221,traj,DESCEND_B,0.1500,0.0400,
9.322,traj,DESCEND_B,0.1490,0.0350,
9.423,traj,DESCEND_B,0.1500,0.0330,
9.524,traj,DESCEND_B,0.1510,0.0310,
9.625,traj,DESCEND_B,0.1500,0.0300,
9.726,traj,DESCEND_B,0.1500,0.0300,
9.828,traj,DESCEND_B,0.1500,0.0300,
9.929,traj,DESCEND_B,0.1500,0.0300,
10.030,traj,DESCEND_B,0.1500,0.0300,
10.131,traj,DESCEND_B,0.1500,0.0300,
10.232,traj,DESCEND_B,0.1500,0.0300,
10.313,wp,DESCEND_B_3/3,0.1500,0.0200,OK
10.313,state,RELEASE,,,
10.334,traj,RELEASE,0.1500,0.0300,
10.435,traj,RELEASE,0.1500,0.0300,
10.536,traj,RELEASE,0.1500,0.0300,
10.638,traj,RELEASE,0.1500,0.0300,
10.739,traj,RELEASE,0.1500,0.0300,
10.840,traj,RELEASE,0.1500,0.0300,
10.941,traj,RELEASE,0.1500,0.0300,
11.042,traj,RELEASE,0.1500,0.0300,
11.143,traj,RELEASE,0.1500,0.0300,
11.244,traj,RELEASE,0.1500,0.0300,
11.345,traj,RELEASE,0.1500,0.0300,
11.446,traj,RELEASE,0.1500,0.0300,
11.547,traj,RELEASE,0.1500,0.0300,
11.648,traj,RELEASE,0.1500,0.0300,
11.749,traj,RELEASE,0.1500,0.0300,
11.811,wp,OPEN,,,OK duration=1.34s
11.811,state,LIFT_B,,,
11.852,traj,LIFT_B,0.1500,0.0300,
11.953,traj,LIFT_B,0.1500,0.0300,
12.055,traj,LIFT_B,0.1500,0.0300,
12.156,traj,LIFT_B,0.1510,0.0310,
12.257,traj,LIFT_B,0.1530,0.0340,
12.358,traj,LIFT_B,0.1520,0.0370,
12.419,wp,LIFT_B_1/3,0.1500,0.0467,OK
12.460,traj,LIFT_B,0.1520,0.0410,
12.561,traj,LIFT_B,0.1510,0.0430,
12.663,traj,LIFT_B,0.1500,0.0450,
12.764,traj,LIFT_B,0.1480,0.0490,
12.865,traj,LIFT_B,0.1490,0.0570,
12.966,traj,LIFT_B,0.1480,0.0620,
13.027,wp,LIFT_B_2/3,0.1500,0.0733,OK
13.068,traj,LIFT_B,0.1490,0.0670,
13.169,traj,LIFT_B,0.1500,0.0690,
13.270,traj,LIFT_B,0.1520,0.0730,
13.371,traj,LIFT_B,0.1530,0.0790,
13.472,traj,LIFT_B,0.1550,0.0860,
13.574,traj,LIFT_B,0.1540,0.0900,
13.594,wp,LIFT_B_3/3,0.1500,0.1000,OK
13.595,state,HOME,,,
13.656,wp,HOME,0.1500,0.1000,OK
13.656,cycle,CYCLE_1,,,SUCCESS
13.657,state,CYCLE_1_OK,,,
