t,type,state,x,z,detail
0.002,state,HOME,,,
0.002,traj,HOME,0.1510,0.0980,
0.044,wp,OPEN,,,OK duration=0.00s
0.044,state,HOME,,,
0.105,wp,HOME,0.1500,0.1000,OK
0.106,state,APPROACH_A,,,
0.106,traj,APPROACH_A,0.1510,0.0980,
0.207,traj,APPROACH_A,0.1510,0.0980,
0.308,traj,APPROACH_A,0.1510,0.0980,
0.409,traj,APPROACH_A,0.1510,0.0980,
0.510,traj,APPROACH_A,0.1550,0.0970,
0.611,traj,APPROACH_A,0.1610,0.0950,
0.692,wp,APPROACH_A_1/2,0.1750,0.1000,OK
0.713,traj,APPROACH_A,0.1650,0.0970,
0.814,traj,APPROACH_A,0.1700,0.0970,
0.915,traj,APPROACH_A,0.1720,0.0980,
1.016,traj,APPROACH_A,0.1750,0.0990,
1.117,traj,APPROACH_A,0.1800,0.1020,
1.218,traj,APPROACH_A,0.1880,0.1000,
1.238,wp,APPROACH_A_2/2,0.2000,0.1000,OK
1.239,state,DESCEND_A,,,
1.320,traj,DESCEND_A,0.1920,0.1010,
1.421,traj,DESCEND_A,0.1960,0.0990,
1.522,traj,DESCEND_A,0.1980,0.0970,
1.623,traj,DESCEND_A,0.2000,0.0920,
1.725,traj,DESCEND_A,0.2000,0.0850,
1.785,wp,DESCEND_A_1/3,0.2000,0.0733,OK
1.826,traj,DESCEND_A,0.2000,0.0820,
1.928,traj,DESCEND_A,0.2000,0.0770,
2.029,traj,DESCEND_A,0.2000,0.0750,
2.130,traj,DESCEND_A,0.1990,0.0700,
2.231,traj,DESCEND_A,0.1990,0.0650,
2.311,wp,DESCEND_A_2/3,0.2000,0.0467,OK
2.332,traj,DESCEND_A,0.1990,0.0560,
2.433,traj,DESCEND_A,0.2010,0.0510,
2.534,traj,DESCEND_A,0.2000,0.0480,
2.635,traj,DESCEND_A,0.2000,0.0450,
2.737,traj,DESCEND_A,0.1990,0.0380,
2.838,wp,DESCEND_A_3/3,0.2000,0.0200,OK
2.839,state,CLAMP,,,
2.839,traj,CLAMP,0.2010,0.0310,
2.941,traj,CLAMP,0.2000,0.0250,
3.042,traj,CLAMP,0.2000,0.0220,
3.142,traj,CLAMP,0.2000,0.0190,
3.244,traj,CLAMP,0.2000,0.0190,
3.345,traj,CLAMP,0.2000,0.0190,
3.446,traj,CLAMP,0.2000,0.0190,
3.547,traj,CLAMP,0.2000,0.0190,
3.648,traj,CLAMP,0.2000,0.0190,
3.749,traj,CLAMP,0.2000,0.0190,
3.850,traj,CLAMP,0.2000,0.0190,
3.951,traj,CLAMP,0.2000,0.0190,
4.052,traj,CLAMP,0.2000,0.0190,
4.153,traj,CLAMP,0.2000,0.0190,
4.254,traj,CLAMP,0.2000,0.0190,
4.355,traj,CLAMP,0.2000,0.0190,
4.417,wp,CLOSE,,,OK duration=1.46s
4.417,state,LIFT,,,
4.458,traj,LIFT,0.2000,0.0190,
4.560,traj,LIFT,0.2000,0.0190,
4.661,traj,LIFT,0.2000,0.0190,
4.762,traj,LIFT,0.2010,0.0200,
4.863,traj,LIFT,0.2020,0.0250,
4.964,traj,LIFT,0.2020,0.0300,
5.065,traj,LIFT,0.2020,0.0360,
5.106,wp,LIFT_1/3,0.2000,0.0467,OK
5.167,traj,LIFT,0.2000,0.0400,
5.268,traj,LIFT,0.2000,0.0430,
5.369,traj,LIFT,0.2000,0.0430,
5.470,traj,LIFT,0.2010,0.0460,
5.572,traj,LIFT,0.2020,0.0500,
5.673,traj,LIFT,0.2040,0.0570,
5.774,traj,LIFT,0.2030,0.0620,
5.815,wp,LIFT_2/3,0.2000,0.0733,OK
5.876,traj,LIFT,0.2020,0.0670,
5.978,traj,LIFT,0.2000,0.0700,
6.079,traj,LIFT,0.2000,0.0700,
6.182,traj,LIFT,0.2010,0.0730,
6.283,traj,LIFT,0.2010,0.0810,
6.384,traj,LIFT,0.2020,0.0850,
6.486,traj,LIFT,0.2010,0.0910,
6.506,wp,LIFT_3/3,0.2000,0.1000,OK
6.507,state,TRANSPORT,,,
6.589,traj,TRANSPORT,0.2010,0.0940,
6.690,traj,TRANSPORT,0.2010,0.0970,
6.791,traj,TRANSPORT,0.2000,0.0960,
6.892,traj,TRANSPORT,0.1980,0.0950,
6.993,traj,TRANSPORT,0.1920,0.0970,
7.094,traj,TRANSPORT,0.1870,0.0970,
7.155,wp,TRANSPORT_1/2,0.1750,0.1000,OK
7.196,traj,TRANSPORT,0.1810,0.1000,
7.297,traj,TRANSPORT,0.1780,0.0990,
7.398,traj,TRANSPORT,0.1750,0.1000,
7.499,traj,TRANSPORT,0.1710,0.1010,
7.600,traj,TRANSPORT,0.1640,0.1030,
