t,type,state,x,z,detail
6.490,traj,TRANSPORT,0.1870,0.0990,
6.591,traj,TRANSPORT,0.1830,0.0990,
6.632,wp,TRANSPORT_1/2,0.1750,0.1000,OK
6.693,traj,TRANSPORT,0.1780,0.1000,
6.794,traj,TRANSPORT,0.1760,0.0990,
6.895,traj,TRANSPORT,0.1750,0.0990,
6.996,traj,TRANSPORT,0.1730,0.0980,
7.097,traj,TRANSPORT,0.1660,0.1000,
7.198,traj,TRANSPORT,0.1620,0.1000,
7.239,wp,TRANSPORT_2/2,0.1500,0.1000,OK
7.239,state,DESCEND_B,,,
7.301,traj,DESCEND_B,0.1560,0.1000,
7.402,traj,DESCEND_B,0.1530,0.1000,
7.503,traj,DESCEND_B,0.1520,0.0990,
7.604,traj,DESCEND_B,0.1510,0.0920,
7.705,traj,DESCEND_B,0.1500,0.0880,
7.807,traj,DESCEND_B,0.1490,0.0810,
7.847,wp,DESCEND_B_1/3,0.1500,0.0733,OK
7.908,traj,DESCEND_B,0.1510,0.0780,
8.009,traj,DESCEND_B,0.1500,0.0750,
8.111,traj,DESCEND_B,0.1500,0.0720,
8.212,traj,DESCEND_B,0.1480,0.0650,
8.313,traj,DESCEND_B,0.1500,0.0590,
8.394,wp,DESCEND_B_2/3,0.1500,0.0467,OK
8.415,traj,DESCEND_B,0.1500,0.0530,
8.516,traj,DESCEND_B,0.1510,0.0490,
8.617,traj,DESCEND_B,0.1510,0.0470,
8.718,traj,DESCEND_B,0.1490,0.0440,
8.819,traj,DESCEND_B,0.1480,0.0390,
8.921,traj,DESCEND_B,0.1500,0.0350,
9.022,traj,DESCEND_B,0.1500,0.0320,
9.123,traj,DESCEND_B,0.1510,0.0310,
9.224,traj,DESCEND_B,0.1500,0.0300,
9.326,traj,DESCEND_B,0.1500,0.0300,
9.427,traj,DESCEND_B,0.1500,0.0300,
9.528,traj,DESCEND_B,0.1500,0.0300,
9.629,traj,DESCEND_B,0.1500,0.0300,
9.730,traj,DESCEND_B,0.1500,0.0300,
9.832,traj,DESCEND_B,0.1500,0.0300,
9.934,traj,DESCEND_B,0.1500,0.0300,
9.954,wp,DESCEND_B_3/3,0.1500,0.0200,OK
9.955,state,RELEASE,,,
10.036,traj,RELEASE,0.1500,0.0300,
10.137,traj,RELEASE,0.1500,0.0300,
10.238,traj,RELEASE,0.1500,0.0300,
10.339,traj,RELEASE,0.1500,0.0300,
10.441,traj,RELEASE,0.1500,0.0300,
10.542,traj,RELEASE,0.1500,0.0300,
10.643,traj,RELEASE,0.1500,0.0300,
10.744,traj,RELEASE,0.1500,0.0300,
10.845,traj,RELEASE,0.1500,0.0300,
10.946,traj,RELEASE,0.1500,0.0300,
11.047,traj,RELEASE,0.1500,0.0300,
11.129,wp,OPEN,,,OK duration=1.02s
11.129,state,LIFT_B,,,
11.150,traj,LIFT_B,0.1500,0.0300,
11.252,traj,LIFT_B,0.1500,0.0300,
11.352,traj,LIFT_B,0.1500,0.0300,
11.453,traj,LIFT_B,0.1510,0.0320,
11.554,traj,LIFT_B,0.1540,0.0350,
11.655,traj,LIFT_B,0.1520,0.0380,
11.676,wp,LIFT_B_1/3,0.1500,0.0467,OK
11.757,traj,LIFT_B,0.1520,0.0420,
11.858,traj,LIFT_B,0.1510,0.0440,
11.959,traj,LIFT_B,0.1510,0.0520,
12.060,traj,LIFT_B,0.1490,0.0580,
12.161,traj,LIFT_B,0.1500,0.0640,
12.181,wp,LIFT_B_2/3,0.1500,0.0733,OK
12.263,traj,LIFT_B,0.1490,0.0680,
12.364,traj,LIFT_B,0.1510,0.0720,
12.465,traj,LIFT_B,0.1530,0.0770,
12.566,traj,LIFT_B,0.1550,0.0850,
12.667,traj,LIFT_B,0.1530,0.0900,
12.748,wp,LIFT_B_3/3,0.1500,0.1000,OK
12.749,state,HOME,,,
12.770,traj,HOME,0.1520,0.0950,
12.810,wp,HOME,0.1500,0.1000,OK
12.811,cycle,CYCLE_1,,,SUCCESS
12.811,state,CYCLE_1_OK,,,
