t,type,state,x,z,detail
0.003,state,HOME,,,
0.003,traj,HOME,0.1510,0.0980,
0.044,wp,OPEN,,,OK duration=0.00s
0.045,state,HOME,,,
0.106,wp,HOME,0.1500,0.1000,OK
0.107,state,APPROACH_A,,,
0.108,traj,APPROACH_A,0.1510,0.0980,
0.209,traj,APPROACH_A,0.1510,0.0980,
0.310,traj,APPROACH_A,0.1520,0.0980,
0.411,traj,APPROACH_A,0.1580,0.0960,
0.512,traj,APPROACH_A,0.1630,0.0970,
0.613,traj,APPROACH_A,0.1680,0.0970,
0.654,wp,APPROACH_A_1/2,0.1750,0.1000,OK
0.715,traj,APPROACH_A,0.1710,0.0980,
0.816,traj,APPROACH_A,0.1750,0.0980,
0.917,traj,APPROACH_A,0.1800,0.1000,
1.018,traj,APPROACH_A,0.1880,0.0980,
1.119,traj,APPROACH_A,0.1920,0.1000,
1.160,wp,APPROACH_A_2/2,0.2000,0.1000,OK
1.160,state,DESCEND_A,,,
1.222,traj,DESCEND_A,0.1970,0.0980,
1.323,traj,DESCEND_A,0.1970,0.0980,
1.424,traj,DESCEND_A,0.2000,0.0900,
1.525,traj,DESCEND_A,0.2000,0.0840,
1.627,traj,DESCEND_A,0.2000,0.0810,
1.728,wp,DESCEND_A_1/3,0.2000,0.0733,OK
1.728,traj,DESCEND_A,0.2000,0.0770,
1.830,traj,DESCEND_A,0.2000,0.0740,
1.932,traj,DESCEND_A,0.1990,0.0700,
2.033,traj,DESCEND_A,0.1990,0.0700,
2.134,traj,DESCEND_A,0.2000,0.0640,
2.235,wp,DESCEND_A_2/3,0.2000,0.0467,OK
2.235,traj,DESCEND_A,0.2000,0.0560,
2.336,traj,DESCEND_A,0.2010,0.0510,
2.437,traj,DESCEND_A,0.2000,0.0480,
2.538,traj,DESCEND_A,0.2000,0.0450,
2.639,traj,DESCEND_A,0.1990,0.0380,
2.741,traj,DESCEND_A,0.2010,0.0310,
2.761,wp,DESCEND_A_3/3,0.2000,0.0200,OK
2.762,state,CLAMP,,,
2.843,traj,CLAMP,0.2000,0.0250,
2.944,traj,CLAMP,0.2000,0.0220,
3.045,traj,CLAMP,0.2000,0.0190,
3.146,traj,CLAMP,0.2000,0.0190,
3.247,traj,CLAMP,0.2000,0.0190,
3.348,traj,CLAMP,0.2000,0.0190,
3.450,traj,CLAMP,0.2000,0.0190,
3.551,traj,CLAMP,0.2000,0.0190,
3.652,traj,CLAMP,0.2000,0.0190,
3.753,traj,CLAMP,0.2000,0.0190,
3.855,traj,CLAMP,0.2000,0.0180,
3.936,wp,CLOSE,,,OK duration=1.06s
3.936,state,LIFT,,,
3.957,traj,LIFT,0.2000,0.0190,
4.058,traj,LIFT,0.2000,0.0190,
4.159,traj,LIFT,0.2000,0.0190,
4.260,traj,LIFT,0.2000,0.0190,
4.362,traj,LIFT,0.2010,0.0210,
4.463,traj,LIFT,0.2030,0.0260,
4.564,traj,LIFT,0.2020,0.0320,
4.585,wp,LIFT_1/3,0.2000,0.0467,OK
4.666,traj,LIFT,0.2010,0.0370,
4.767,traj,LIFT,0.2000,0.0410,
4.868,traj,LIFT,0.2000,0.0430,
4.970,traj,LIFT,0.2000,0.0430,
5.071,traj,LIFT,0.2020,0.0490,
5.172,traj,LIFT,0.2030,0.0530,
5.274,traj,LIFT,0.2030,0.0590,
5.294,wp,LIFT_2/3,0.2000,0.0733,OK
5.376,traj,LIFT,0.2010,0.0650,
5.477,traj,LIFT,0.2010,0.0690,
5.578,traj,LIFT,0.2000,0.0700,
5.679,traj,LIFT,0.2010,0.0720,
5.780,traj,LIFT,0.2010,0.0760,
5.881,traj,LIFT,0.2010,0.0840,
5.982,wp,LIFT_3/3,0.2000,0.1000,OK
5.983,state,TRANSPORT,,,
5.984,traj,TRANSPORT,0.2010,0.0930,
6.085,traj,TRANSPORT,0.2010,0.0950,
6.186,traj,TRANSPORT,0.2010,0.0960,
6.287,traj,TRANSPORT,0.1980,0.0960,
6.389,traj,TRANSPORT,0.1950,0.0950,
